Category ID,Category Name,Level,Is Leaf
0,"Root",0,false
1,"Collectibles",1,false
34,"Advertising",2,false
36,"Soda",3,false
852,"Fountain",4,true
853,"Canada Dry",4,true
855,"7 UP",4,true
856,"Squirt",4,true
857,"Hires Root Beer",4,true
877,"Dr Pepper",4,true
1334,"Moxie",4,true
3897,"Schweppes",4,true
10807,"A&W",4,true
10808,"Mountain Dew",4,true
10809,"Orange Crush",4,true
10810,"Royal Crown/Nehi/Diet Rite",4,true
13600,"Coca-Cola",4,false
38,"Other Coca-Cola Ads",5,true
13601,"Advertising-Print",5,true
13602,"Banks",5,true
13603,"Bottles",5,true
13604,"Cans",5,true
13605,"Clocks & Radios",5,true
13606,"Glasses",5,true
13607,"Pins, Badges & Patches",5,true
13608,"Signs",5,true
13609,"Tins",5,true
13610,"Trays",5,true
13611,"Trucks & Cars",5,true
20169,"Bottle Caps",5,true
20170,"Calendars",5,true
20171,"Coasters",5,true
20172,"Coolers",5,true
20173,"Decals & Stickers",5,true
20174,"Figurines",5,true
20175,"Flashlights & Keychains",5,true
20176,"Lunchboxes & Lunch Bags",5,true
20177,"Mugs, Cups & Steins",5,true
20178,"Openers",5,true
20179,"Ornaments",5,true
20180,"Playing Cards",5,true
20181,"Posters & Prints",5,true
20182,"Puzzles & Games",5,true
20183,"Shakers",5,true
20184,"Shirts, Jackets & Hats",5,true
20185,"Thermometers",5,true
35686,"Cigarette Lighters & Ashtrays",5,true
35687,"Cookie Jars & Canisters",5,true
35688,"Dishes, Bowls & Plates",5,true
35690,"Watches",5,true
37824,"Lamps & Lighting",5,true
37825,"Magnets",5,true
37826,"Pens & Pencils",5,true
37827,"Phones",5,true
165258,"Bags",5,true
165259,"Books",5,true
165260,"Plush, Stuffed Animals",5,true
165261,"Carriers & Caddies",5,true
13612,"Pepsi",4,false
854,"Other Pepsi Advertisements",5,true
13613,"Advertising-Print",5,true
13614,"Bottles & Cans",5,true
13615,"Glasses",5,true
13616,"Signs",5,true
20186,"Banks",5,true
20187,"Shirts, Jackets & Hats",5,true
20188,"Trucks & Cars",5,true
35691,"Clocks & Radios",5,true
165263,"Pins, Badges & Patches",5,true
20189,"Mixed Lots",4,true
35692,"Merchandise & Memorabilia",4,false
37,"Other Soda Memorabilia",5,true
35693,"Bottle Caps",5,true
35694,"Bottles",5,true
35695,"Cans",5,true
35696,"Glasses, Cups & Mugs",5,true
35697,"Labels",5,true
35698,"Signs",5,true
170073,"Patches",5,true
165262,"Dad's",4,true
165264,"Vernor’s",4,true
165265,"Other Soda Memorabilia",4,true
39,"Gas & Oil",3,false
40,"Other Gas & Oil Collectibles",4,true
156204,"Gas & Oil Companies",4,false
41,"Esso",5,true
832,"Phillips 66",5,true
833,"Shell",5,true
834,"Mobil",5,true
835,"Pennzoil",5,true
836,"Tydol, Veedol & Flying A",5,true
837,"Quaker State",5,true
838,"Chevron & Standard Oil",5,true
839,"Exxon",5,true
864,"Humble",5,true
1328,"Citgo",5,true
1329,"Gulf",5,true
1331,"Sinclair",5,true
1332,"Sunoco",5,true
3888,"BP",5,true
10801,"Amoco",5,true
10802,"Conoco",5,true
10803,"Union 76",5,true
26264,"Enron",5,true
35672,"Texaco",5,false
42,"Other Texaco Advertisements",6,true
35673,"Advertising-Print",6,true
35674,"Banks",6,true
35675,"Cans & Buckets",6,true
35676,"Trucks & Cars",6,true
35677,"Signs",6,true
165251,"Miniatures",6,true
35678,"Valvoline",5,true
35879,"Hess",5,false
1330,"Unspecified, Unknown Date",6,true
35881,"Pre-1980",6,true
35882,"1980-89",6,true
35883,"1990-94",6,true
35884,"1995-99",6,true
35885,"2000-Now",6,true
165243,"Atlantic",5,true
165244,"Castrol",5,true
165245,"Eagle",5,true
165246,"Pure Oil Company",5,true
165247,"Mixed Lots",5,true
165248,"Other Gas & Oil Company Ads",5,true
165249,"Merchandise & Memorabilia",4,false
35680,"Advertising-Print",5,true
35681,"Banks",5,true
35682,"Cans & Buckets",5,true
35683,"Trucks & Cars",5,true
35684,"Signs",5,true
50711,"Patches",5,true
156205,"Stickers & Decals",5,true
165250,"Other Gas & Oil Memorabilia",5,true
827,"Agriculture",3,false
828,"Other Agricultural Ads",4,true
830,"Allis Chalmers",4,true
831,"International Harvester",4,true
1333,"Seed & Feed Companies",4,true
3884,"Case",4,true
13545,"Caterpillar",4,true
13546,"Ford",4,true
13547,"Massey Ferguson",4,true
35627,"John Deere",4,false
829,"Other John Deere Collectibles",5,true
35628,"Advertising-Print",5,true
35629,"Brochures & Catalogs",5,true
35630,"Hats & Caps",5,true
35631,"Lunch Boxes",5,true
35632,"Manuals",5,true
35633,"Ornaments",5,true
35634,"Signs",5,true
95111,"Cups, Mugs & Steins",5,true
95112,"Diecast & Toys",5,true
95113,"Lighting & Lamps",5,true
95114,"Pocket Knives",5,true
165193,"Apparel",5,true
165194,"Banks",5,true
165195,"Belts & Belt Buckles",5,true
165196,"Coasters",5,true
165197,"License Plates",5,true
165198,"Tableware",5,true
165199,"Posters, Prints & Paintings",5,true
35635,"Minneapolis-Moline",4,true
35636,"Oliver",4,true
849,"Restaurants & Fast Food",3,false
850,"Other Restaurant Ads",4,true
851,"Big Boy",4,true
20168,"Burger King",4,true
21100,"Planet Hollywood",4,true
21101,"Hard Rock Café",4,true
35667,"McDonald's",4,false
13592,"Other McDonald's Ads",5,true
35668,"Mugs & Cups",5,true
35669,"Pins",5,true
35670,"Plates",5,true
35671,"Taco Bell",4,true
167975,"Arby's",4,true
167976,"Dairy Queen",4,true
167977,"Hooters",4,true
167978,"Pizza Hut",4,true
167979,"Waffle House",4,true
167980,"Wendy's",4,true
875,"Government",3,true
1313,"Automobiles",3,false
1314,"Other Automobile Ads",4,true
13553,"American",4,false
1315,"Buick",5,true
1316,"Chevrolet",5,true
1317,"Chrysler",5,true
1318,"Dodge",5,true
1319,"Ford",5,true
1320,"Pontiac",5,true
3874,"Packard",5,true
10773,"Cadillac",5,true
10774,"Jeep & Willys",5,true
10775,"Lincoln",5,true
10776,"Mercury",5,true
10777,"Oldsmobile",5,true
10778,"Plymouth",5,true
10780,"Studebaker",5,true
13554,"DeSoto",5,true
13555,"Hudson",5,true
13556,"Kaiser-Frazer",5,true
13557,"Nash",5,true
13558,"Rambler",5,true
